word,type,
mad,ADJECTIVE,
madder,ADJECTIVE,
magic,ADJECTIVE,
magical,ADJECTIVE,
magnetic,ADJECTIVE,
magnificent,ADJECTIVE,
main,ADJECTIVE,
mainstream,ADJECTIVE,
major,ADJECTIVE,
male,ADJECTIVE,
managerial,ADJECTIVE,
mandatory,ADJECTIVE,
manual,ADJECTIVE,
marginal,ADJECTIVE,
marine,ADJECTIVE,
marvellous,ADJECTIVE,
mass,ADJECTIVE,
masser,ADJECTIVE,
massest,ADJECTIVE,
massive,ADJECTIVE,
mathematical,ADJECTIVE,
mature,ADJECTIVE,
maximum,ADJECTIVE,
mean,ADJECTIVE,
meaner,ADJECTIVE,
meanest,ADJECTIVE,
meaningful,ADJECTIVE,
mechanical,ADJECTIVE,
medical,ADJECTIVE,
medieval,ADJECTIVE,
medium,ADJECTIVE,
memorable,ADJECTIVE,
mental,ADJECTIVE,
mere,ADJECTIVE,
metropolitan,ADJECTIVE,
mid,ADJECTIVE,
middle,ADJECTIVE,
middle-class,ADJECTIVE,
mightier,ADJECTIVE,
mightiest,ADJECTIVE,
mighty,ADJECTIVE,
mild,ADJECTIVE,
milder,ADJECTIVE,
mildest,ADJECTIVE,
military,ADJECTIVE,
miniature,ADJECTIVE,
minimal,ADJECTIVE,
minimum,ADJECTIVE,
ministerial,ADJECTIVE,
minor,ADJECTIVE,
miserable,ADJECTIVE,
mobile,ADJECTIVE,
moderate,ADJECTIVE,
modern,ADJECTIVE,
modest,ADJECTIVE,
molecular,ADJECTIVE,
monetary,ADJECTIVE,
monthly,ADJECTIVE,
moral,ADJECTIVE,
more,ADJECTIVE,
more,ADJECTIVE,
more,ADJECTIVE,
more,ADJECTIVE,
more,ADJECTIVE,
more,ADJECTIVE,
more,ADJECTIVE,
more,ADJECTIVE,
more,ADJECTIVE,
multiple,ADJECTIVE,
municipal,ADJECTIVE,
musical,ADJECTIVE,
mutual,ADJECTIVE,
mysterious,ADJECTIVE,
naked,ADJECTIVE,
narrow,ADJECTIVE,
narrower,ADJECTIVE,
narrowest,ADJECTIVE,
nastier,ADJECTIVE,
nastiest,ADJECTIVE,
nasty,ADJECTIVE,
national,ADJECTIVE,
natural,ADJECTIVE,
naval,ADJECTIVE,
near,ADJECTIVE,
nearby,ADJECTIVE,
nearer,ADJECTIVE,
nearest,ADJECTIVE,
neat,ADJECTIVE,
neater,ADJECTIVE,
neatest,ADJECTIVE,
necessary,ADJECTIVE,
negative,ADJECTIVE,
nervous,ADJECTIVE,
net,ADJECTIVE,
neutral,ADJECTIVE,
new,ADJECTIVE,
newer,ADJECTIVE,
newest,ADJECTIVE,
next,ADJECTIVE,
nice,ADJECTIVE,
nicer,ADJECTIVE,
nicest,ADJECTIVE,
nineteenth,ADJECTIVE,
